date,product,quantity,unit_price,sales_rep,region
2025-02-26,Laptop,5,712,Jeffrey Hayes,South
2025-02-12,Mouse,7,1303,David Smith,West
2025-02-20,Desk,5,1229,Diana Lang,East
2025-02-21,Laptop,4,127,Jeffery Mccoy,West
2025-02-05,Mouse,8,413,Kristen Campbell,East
2025-02-27,Desk,6,40,Michelle Washington,West
2025-02-14,Monitor,3,377,Brian Fisher,South
2025-02-23,Laptop,1,1513,Lisa Henderson,South
2025-02-12,Monitor,6,1262,Chelsea Goodwin,South
2025-02-13,Keyboard,3,1916,Justin Dixon,North
2025-02-16,Monitor,3,1897,Stacy Cook,West
2025-02-11,Laptop,4,154,Alexandra Taylor,East
2025-02-23,Keyboard,3,730,Natasha Sosa,South
2025-02-02,Keyboard,2,979,John Johnson,East
2025-02-16,Chair,4,1528,Kyle Roy,North
2025-02-05,Monitor,3,1222,Justin Meyer,South
2025-01-03,Desk,4,639,Leslie Snow,East
2025-01-02,Chair,6,606,Sara Holland,South
2025-01-03,Chair,3,1447,Brandon Smith,South
2025-01-05,Mouse,9,915,Shawn Holloway,West
2025-01-04,Desk,7,1857,Monique Parker,South
2025-01-26,Desk,8,1550,Juan Robertson,East
2025-01-12,Desk,4,1824,Cody Hardy,West
2025-01-21,Keyboard,7,95,Antonio Roberts,West
2025-01-18,Mouse,1,1201,Matthew Burns,South
2025-01-21,Desk,2,1099,Linda Ward,North
2025-01-15,Mouse,8,425,Patrick White,North
2025-01-15,Keyboard,3,1649,Theresa Armstrong,East
2025-01-10,Laptop,8,551,Jennifer Terry,South
2025-01-15,Mouse,2,436,Michael Peters,East
2025-01-02,Monitor,6,378,Renee Benson,South
2025-01-26,Chair,2,1879,Zachary Brown,North
2025-01-19,Mouse,6,1689,David Gonzalez,East
2025-01-13,Chair,6,1478,Shane Patel,West
2025-01-24,Chair,6,402,Courtney Stevenson,North
2025-01-21,Chair,8,981,Michael Fritz,East
2025-01-27,Mouse,5,134,Patrick Hayes,East
2025-01-27,Chair,8,28,Amanda Small,East
2025-01-22,Chair,9,804,Amanda Garcia,West
2025-01-22,Laptop,3,1746,Paul Young,North
2025-01-14,Keyboard,1,1332,Christopher Frey,North
2025-01-01,Chair,7,1026,John Burton,South
2025-01-11,Chair,3,167,Andrew Huffman,East
2025-01-14,Monitor,5,704,Mr. Christopher Holden,North
2025-01-07,Laptop,7,487,Joshua Stephens,West
2025-01-15,Desk,9,218,Jennifer Spence,West
2025-01-05,Keyboard,3,961,Lynn Hopkins,South
2025-01-03,Keyboard,8,1841,Wanda Paul,South
2025-01-17,Monitor,4,949,Frances Landry,West
2025-01-12,Monitor,5,102,Nancy Shelton,North
2025-01-26,Mouse,6,570,Kathleen Mcintyre,West
2025-01-07,Mouse,1,1107,Colleen Adams,South
2025-01-24,Monitor,3,406,Nicholas Gates,West
2025-01-12,Laptop,3,462,Kelsey Mitchell,East
2025-01-19,Mouse,2,1196,Margaret Farrell,East
2025-01-15,Mouse,8,467,Victoria Poole,North
2025-01-25,Chair,2,1372,Michael Floyd,South
2025-01-21,Keyboard,4,1856,Douglas Kennedy,South
2025-01-21,Desk,5,621,Travis Sanchez,South
2025-01-05,Mouse,3,1424,Natalie Miller,South
2025-01-14,Laptop,9,1985,Brittany Rodriguez,East
2025-01-10,Mouse,5,575,Jill Brown,East
2025-01-15,Chair,9,530,Brandon Williams,South
2025-01-24,Keyboard,4,381,Peter Jenkins,North
2025-01-18,Chair,4,1239,Kristi Hernandez,South
2025-01-02,Chair,3,948,Elizabeth Nelson,South
2025-05-11,Mouse,3,103,Laura Mcmahon,West
2025-05-24,Desk,2,106,Amy Harris,East
2025-05-11,Chair,4,1360,Robert Wall,West
2025-05-21,Mouse,6,1999,Emma Avila,South
2025-05-12,Monitor,1,777,Michael Ray,North
2025-05-08,Chair,2,828,April Espinoza,South
2025-05-13,Chair,5,1519,Kyle Baker,West
2025-05-23,Keyboard,3,158,Robert Taylor,East
2025-05-14,Mouse,7,965,Christina Meadows,South
2025-05-01,Monitor,1,376,Patricia Young,North
2025-05-01,Monitor,8,470,Timothy Woods,North
2025-05-17,Chair,6,1695,Casey Garcia,East
2025-05-26,Mouse,3,1443,Charles Hernandez,North
2025-05-06,Mouse,2,1860,Sarah Miller,West
2025-05-10,Chair,9,116,Alyssa Bird,East
2025-05-18,Mouse,7,193,Jesse Davis,South
2025-05-19,Chair,9,940,Jesse Adams,West
2025-05-21,Keyboard,7,57,Jennifer Smith,South
2025-05-27,Chair,7,1503,Kevin Roberts,South
2025-05-25,Monitor,3,1595,Lindsey Dennis,North
2025-05-06,Keyboard,2,236,George Williams,North
2025-05-17,Keyboard,5,76,Lisa White,East
2025-05-23,Monitor,9,1378,Jamie Cain,South
2025-05-23,Keyboard,5,785,Denise Villegas,West
2025-05-11,Keyboard,9,1669,Lori Williams,West
2025-05-27,Desk,8,365,Caitlin Abbott,North
2025-05-07,Chair,1,1864,Anthony Phelps,West
2025-05-03,Chair,4,761,Rebecca Palmer,West
2025-05-03,Chair,8,1276,Diane Williams MD,South
2025-05-18,Monitor,2,1580,Lori Weber,East
2025-05-03,Mouse,5,1655,Sean Joyce,East
2025-05-20,Monitor,8,222,Daniel Phillips,South
2025-05-09,Monitor,7,71,Arthur Phillips,West
2025-05-03,Keyboard,7,73,Phillip Watson,West
2025-05-07,Laptop,1,309,Benjamin Thompson,South
2025-05-10,Keyboard,3,1832,Mrs. Laura Cortez,East
2025-05-08,Monitor,2,689,Evelyn Brown,North
2025-05-02,Chair,6,1806,Tom Patton,East
2025-05-24,Mouse,7,1411,Joseph Green,East
2025-05-01,Chair,9,1609,Alyssa Lane,North
2025-05-21,Laptop,9,1100,David Randolph,North
2025-05-21,Laptop,6,176,Joann Rubio,East
2025-05-19,Chair,5,630,Roger West,South
2025-05-11,Monitor,8,767,Michael Wilson,South
2025-05-26,Chair,8,1963,Timothy Mcdaniel,East
2025-05-11,Monitor,3,1038,Mary Woods,North
2025-05-23,Laptop,4,396,Denise Fowler,East
2025-05-25,Desk,7,1856,Tammy Stevenson MD,West
2025-05-10,Mouse,3,205,Robert Matthews MD,West
2025-05-04,Mouse,7,1525,Kimberly Johnson,East
